year,date,average
1979,7/15/1979,-46.8140625				
1980,7/15/1980,-41.88072917				
1981,7/15/1981,-25.98072917				
1982,7/15/1982,-37.88072917				
1983,7/15/1983,-22.28072917				
1984,7/15/1984,-21.7140625				
1985,7/15/1985,-36.98072917				
1986,7/15/1986,-35.18072917				
1987,7/15/1987,-33.24739583				
1988,7/15/1988,-28.84739583				
1989,7/15/1989,-25.14739583				
1990,7/15/1990,-22.84739583				
1991,7/15/1991,-22.8140625			
1992,7/15/1992,-20.24739583				
1993,7/15/1993,-22.78072917				
1994,7/15/1994,-17.98072917				
1995,7/15/1995,-15.58072917				
1996,7/15/1996,-11.94739583				
1997,7/15/1997,-2.647395833				
1998,7/15/1998,-10.8140625				
1999,7/15/1999,-0.247395833				
2000,7/15/2000,2.952604167				
2001,7/15/2001,4.719270833				
2002,7/15/2002,2.152604167				
2003,7/15/2003,14.61927083				
2004,7/15/2004,13.65260417				
2005,7/15/2005,12.11927083				
2006,7/15/2006,9.519270833				
2007,7/15/2007,22.7859375				
2008,7/15/2008,30.45260417				
2009,7/15/2009,33.65260417			
2010,7/15/2010,33.87824005			
2011,7/15/2011,36.71847075			
2012,7/15/2012,47.17390325						
2013,7/15/2013,41.33798668			
2014,7/15/2014,53.85737212			
2015,7/15/2015,50.46170567			
2016,7/15/2016,54.34696367			
2017,7/15/2017,57.35599133			
2018,7/15/2018,53.08512198			
2019,7/15/2019,61.39371322			
2020,7/15/2020,66.70432506
2021,7/15/2021,63.29
2022,7/15/2022,69.66			
